0;#;FORM;LEMMA;GRAM;FEAT;COMMENT;CHECKED;CONTEXT;RIGHT1;RIGHT2;RIGHT3;RIGHT4;RIGHT5;RIGHT6;POS;AUTO_LEMMA;AUTO_GRAM;AUTO_FEAT;RIGHT_Lemma
38869;;лапы;лапа;S;f,inan=nom,pl;;;,  у него лапы как у ... ;ы;п;а;л;;;;лапа;S;_;а
38870;;как;как;CONJ;_;;;у него лапы как у ...  вон;к;а;к;;;;;как;CONJ;_;к
38871;;у;у;PR;_;;;него лапы как у ...  вон . ;у;;;;;;;у;PR;_;у
38872;;... ;... ;PUNCT;_;;;;;;;;;;;... ;PUNCT;_;
38873;;вон;вон;ADVPRO;_;;;как у ...  вон .   ;н;о;в;;;;;вон;ADVPRO;_;н
38874;;. ;. ;PUNCT;_;;;;;;;;;;;. ;PUNCT;_;
38875;;;;;;;;;;;;;;;;;;;
38876;# sent_id = 12;;;;_;;;;;;;;;;;;;;
38877;;Мать;мать;S;f,anim=nom,sg;;;.    Мать моя  женщина;ь;т;а;М;;;;мать;S;_;ь
38878;;моя;мой;APRO;nom,sg,f;;;  Мать моя  женщина . ;я;о;м;;;;;мой;APRO;_;й
38879;"<distinct form=""жен""></distinct>";;;;_;;;;;;;;;;;;;;
38880;;женщина;женщина;S;f,anim=nom,sg;;;Мать моя  женщина .   ;а;н;и;щ;н;е;;женщина;S;_;а
38881;;. ;. ;PUNCT;_;;;;;;;;;;;. ;PUNCT;_;
38882;;;;;;;;;;;;;;;;;;;
38883;# sent_id = 13;;;;_;;;;;;;;;;;;;;
38884;;А-а-а;а;INTJ;_;;?;.    А - а -;а;-;а;-;А;;;а;INTJ;_;а
38885;;. ;. ;PUNCT;_;;;;;;;;;;;. ;PUNCT;_;
38886;;;;;;;;;;;;;;;;;;;
38887;# sent_id = 14;;;;_;;;;;;;;;;;;;;
38888;"<distinct form=""Поому""></distinct>";;;;_;;;;;;;;;;;;;;
38889;;по-моему;по-моему;PRAEDIC;_;;;   по-моему ,  это страшно;у;м;е;о;м;-;;по-моему;PRAEDIC;_;у
38890;;, ;, ;PUNCT;_;;;;;;;;;;;, ;PUNCT;_;
38891;;это;это;SPRO;_;;; по-моему ,  это страшно .  ;о;т;э;;;;;это;SPRO;_;о
38892;;страшно;страшный;A;sg,brev,n;;;по-моему ,  это страшно .   ;о;н;ш;а;р;т;;страшно;ADV;_;й
38893;;. ;. ;PUNCT;_;;;;;;;;;;;. ;PUNCT;_;
38894;;;;;;;;;;;;;;;;;;;
38895;# sent_id = 15;;;;_;;;;;;;;;;;;;;
38896;;А;а;CONJ;_;;;.    А вот если вот;А;;;;;;;а;CONJ;_;а
38897;;вот;вот;PART;_;;;  А вот если вот он;т;о;в;;;;;вот;PART;_;т
38898;;если;если;CONJ;_;;; А вот если вот он нагнется;и;л;с;е;;;;если;CONJ;_;и
38899;;вот;вот;PART;_;;;А вот если вот он нагнется , ;т;о;в;;;;;вот;PART;_;т
38900;;он;он;SPRO;sg,3p,m=nom;;;вот если вот он нагнется ,  я;н;о;;;;;;он;SPRO;_;н
38901;;нагнется;нагнуться;V;intr=fut,sg,indic,3p,pf;;;если вот он нагнется ,  я ;я;с;т;е;н;г;;нагнуться;V;_;я
38902;;, ;, ;PUNCT;_;;;;;;;;;;;, ;PUNCT;_;
38903;;я;я;SPRO;sg,1p=nom;;;он нагнется ,  я  вообще , ;я;;;;;;;я;SPRO;_;я
38904;"<distinct form=""вапще""></distinct>";;;;_;;;;;;;;;;;;;;
38905;;вообще;вообще;PRAEDIC;_;;;,  я  вообще ,  помру . ;е;щ;б;о;о;в;;вообще;PRAEDIC;_;е
38906;;, ;, ;PUNCT;_;;;;;;;;;;;, ;PUNCT;_;
38907;;помру;помереть;V;intr=fut,sg,indic,1p,pf;;; вообще ,  помру .   ;у;р;м;о;п;;;помереть;V;_;ь
38908;;. ;. ;PUNCT;_;;;;;;;;;;;. ;PUNCT;_;
38909;;;;;;;;;;;;;;;;;;;
38910;# sent_id = 16;;;;_;;;;;;;;;;;;;;
38911;;То;то;PART;_;;;.    То есть он вот;о;Т;;;;;;то;SPRO;_;о
38912;;есть;быть;V;intr=praes,sg,indic,3p,ipf;;;  То есть он вот щас;ь;т;с;е;;;;быть;V;_;ь
38913;;он;он;SPRO;sg,3p,m=nom;;; То есть он вот щас сюда;н;о;;;;;;он;SPRO;_;н
38914;;вот;вот;PART;_;;;То есть он вот щас сюда пролезет;т;о;в;;;;;вот;PART;_;т
38915;;щас;сейчас;ADV;distort;;;есть он вот щас сюда пролезет в;с;а;щ;;;;;щас;ADV;_;с
38916;;сюда;сюда;ADVPRO;_;;;он вот щас сюда пролезет в щелочку;а;д;ю;с;;;;сюда;ADVPRO;_;а
38917;;пролезет;пролезть;V;intr=fut,sg,indic,3p,pf;;;вот щас сюда пролезет в щелочку ? ;т;е;з;е;л;о;;пролезть;V;_;ь
38918;;в;в;PR;_;;;щас сюда пролезет в щелочку ?  ;в;;;;;;;в;PR;_;в
38919;;щелочку;щелочка;S;f,inan=gen,sg;;;сюда пролезет в щелочку ?   ;у;к;ч;о;л;е;;щелочка;S;_;а
38920;;? ;? ;PUNCT;_;;;;;;;;;;;? ;PUNCT;_;
38921;;;;;_;;;;;;;;;;;;;;
38922;</speech>;;;;_;;;;;;;;;;;;;;
38923;;;;;_;;;;;;;;;;;;;;
38924;"<speech role=""Валера"" gender=""муж"" profession=""фотограф"" age=""28"" birthyear=""1989"" birthplace=""Владимир"" region=""Владимирская область"" education=""высшее"">";;;;_;;;;;;;;;;;;;;
38925;;Должен;должный;A;sg,brev,m;;;   Должен ,  да .;н;е;ж;л;о;Д;;должный;A;_;й
38926;;, ;, ;PUNCT;_;;;;;;;;;;;, ;PUNCT;_;
38927;;да;да;PART;_;;; Должен ,  да .  ;а;д;;;;;;да;PART;_;а
38928;;.;.;PUNCT;_;;;;;;;;;;;.;PUNCT;_;
38929;;;;;_;;;;;;;;;;;;;;
38930;</speech>;;;;_;;;;;;;;;;;;;;
38931;;;;;_;;;;;;;;;;;;;;
38932;"<speech role=""Наташа"" gender=""жен"" profession=""парикмахер"" age=""28"" birthyear=""1989"" birthplace=""Владимир"" region=""Владимирская область"" education=""среднее"">";;;;_;;;;;;;;;;;;;;
38933;;Ну-ка;ну-ка;INTJ;_;;;   Ну-ка покажи . ;а;к;-;у;Н;;;ну-ка;INTJ;_;а
38934;;покажи;показать;V;sg,imper,2p,pf;;;  Ну-ка покажи .  ;и;ж;а;к;о;п;;показать;V;_;ь
38935;;.;.;PUNCT;_;;;;;;;;;;;.;PUNCT;_;
38936;;;;;_;;;;;;;;;;;;;;
38937;https://www.youtube.com/watch?v=pZ7Gl1mpqKI&feature=youtu.be&t=11m14s;;;;_;;;;;;;;;;;;;;
38938;;;;;_;;;;;;;;;;;;;;
38939;</speech>;;;;_;;;;;;;;;;;;;;
38940;;;;;_;;;;;;;;;;;;;;
38941;"<speech role=""Валера"" gender=""муж"" profession=""фотограф"" age=""28"" birthyear=""1989"" birthplace=""Владимир"" region=""Владимирская область"" education=""высшее"">";;;;_;;;;;;;;;;;;;;
38942;;Надо;надо;PRAEDIC;_;;;   Надо позвать его .;о;д;а;Н;;;;надо;ADV;_;о
38943;;позвать;позвать;V;pf,tran=inf;;;  Надо позвать его . ;ь;т;а;в;з;о;;позвать;V;_;ь
38944;;его;он;SPRO;sg,3p,m=gen;;; Надо позвать его .  ;о;г;е;;;;;он;SPRO;_;н
38945;;.;.;PUNCT;_;;;;;;;;;;;.;PUNCT;_;
38946;;;;;_;;;;;;;;;;;;;;
38947;</speech>;;;;_;;;;;;;;;;;;;;
38948;;;;;_;;;;;;;;;;;;;;
38949;"<speech role=""Наташа"" gender=""жен"" profession=""парикмахер"" age=""28"" birthyear=""1989"" birthplace=""Владимир"" region=""Владимирская область"" education=""среднее"">";;;;_;;;;;;;;;;;;;;
38950;;Ну-ка;ну-ка;INTJ;_;;;   Ну-ка .   ;а;к;-;у;Н;;;ну-ка;INTJ;_;а
38951;;. ;. ;PUNCT;_;;;;;;;;;;;. ;PUNCT;_;
38952;;;;;;;;;;;;;;;;;;;
38953;# sent_id = 17;;;;_;;;;;;;;;;;;;;
38954;;Ну;ну;PART;_;;;.    Ну то есть они;у;Н;;;;;;ну;PART;_;у
38955;;то;то;PART;_;;;  Ну то есть они уже;о;т;;;;;;то;PART;_;о
38956;;есть;быть;V;intr=praes,sg,indic,3p,ipf;;; Ну то есть они уже скорефанились;ь;т;с;е;;;;быть;V;_;ь
38957;;они;они;SPRO;pl=nom;;;Ну то есть они уже скорефанились , ;и;н;о;;;;;они;SPRO;_;и
38958;;уже;уже;ADV;_;;;то есть они уже скорефанились ,  да;е;ж;у;;;;;уже;ADV;_;е
38959;;скорефанились;скорефаниться;V;ipf,intr=praet,pl,indic;;;есть они уже скорефанились ,  да ?;ь;с;и;л;и;н;;скорефаниться;V;_;я
38960;;, ;, ;PUNCT;_;;;;;;;;;;;, ;PUNCT;_;
38961;;да;да;PART;_;;;уже скорефанились ,  да ?  ;а;д;;;;;;да;PART;_;а
38962;;?;?;PUNCT;_;;;;;;;;;;;?;PUNCT;_;
38963;;;;;_;;;;;;;;;;;;;;
38964;</speech>;;;;_;;;;;;;;;;;;;;
38965;;;;;_;;;;;;;;;;;;;;
38966;"<speech role=""Валера"" gender=""муж"" profession=""фотограф"" age=""28"" birthyear=""1989"" birthplace=""Владимир"" region=""Владимирская область"" education=""высшее"">";;;;_;;;;;;;;;;;;;;
38967;;Ну;ну;PART;_;;;   Ну да ,  вон;у;Н;;;;;;ну;PART;_;у
38968;;да;да;PART;_;;;  Ну да ,  вон вишь;а;д;;;;;;да;PART;_;а
38969;;, ;, ;PUNCT;_;;;;;;;;;;;, ;PUNCT;_;
38970;;вон;вон;PART;_;;;Ну да ,  вон вишь ? ;н;о;в;;;;;вон;PART;_;н
38971;;вишь;вишь;PART;_;;;да ,  вон вишь ?  ;ь;ш;и;в;;;;вишь;PART;_;ь
38972;;?;?;PUNCT;_;;;;;;;;;;;?;PUNCT;_;
38973;;;;;_;;;;;;;;;;;;;;
38974;</speech>;;;;_;;;;;;;;;;;;;;
38975;;;;;_;;;;;;;;;;;;;;
38976;"<speech role=""Наташа"" gender=""жен"" profession=""парикмахер"" age=""28"" birthyear=""1989"" birthplace=""Владимир"" region=""Владимирская область"" education=""среднее"">";;;;_;;;;;;;;;;;;;;
38977;;О-о-о;О-о-о;INTJ;_;;;   О-о-о   ;о;-;о;-;О;;;О-о-о;INTJ;_;о
38978;;;;;_;;;;;;;;;;;;;;
38979;</speech>;;;;_;;;;;;;;;;;;;;
38980;;;;;_;;;;;;;;;;;;;;
38981;"<speech role=""Валера"" gender=""муж"" profession=""фотограф"" age=""28"" birthyear=""1989"" birthplace=""Владимир"" region=""Владимирская область"" education=""высшее"">";;;;_;;;;;;;;;;;;;;
38982;;Ну;ну;PART;_;;;   Ну как у кошака;у;Н;;;;;;ну;PART;_;у
38983;;как;как;CONJ;_;;;  Ну как у кошака светятся;к;а;к;;;;;как;CONJ;_;к
38984;;у;у;PR;_;;; Ну как у кошака светятся в;у;;;;;;;у;PR;_;у
38985;;кошака;кошак;S;m,anim=gen,sg;;;Ну как у кошака светятся в темноте;а;к;а;ш;о;к;;кошак;S;_;к
38986;;светятся;светиться;V;ipf,intr=praes,pl,indic,3p;;;как у кошака светятся в темноте глаза;я;с;т;я;т;е;;светиться;V;_;я
38987;;в;в;PR;_;;;у кошака светятся в темноте глаза . ;в;;;;;;;в;PR;_;в
38988;;темноте;темнота;S;sg,f,inan=loc;;;кошака светятся в темноте глаза .  ;е;т;о;н;м;е;;темнота;S;_;а
38989;;глаза;глаз;S;m,inan=nom,pl;;;светятся в темноте глаза .   ;а;з;а;л;г;;;глаз;S;_;з
38990;;. ;. ;PUNCT;_;;;;;;;;;;;. ;PUNCT;_;
38991;;;;;_;;;;;;;;;;;;;;
38992;</speech>;;;;_;;;;;;;;;;;;;;
38993;;;;;_;;;;;;;;;;;;;;
38994;"<speech role=""Наташа"" gender=""жен"" profession=""парикмахер"" age=""28"" birthyear=""1989"" birthplace=""Владимир"" region=""Владимирская область"" education=""среднее"">";;;;_;;;;;;;;;;;;;;
38995;;А-а-а;а-а-а;INTJ;_;;;   А-а-а !   ;а;-;а;-;А;;;а-а-а;INTJ;_;а
38996;;! ;! ;PUNCT;_;;;;;;;;;;;! ;PUNCT;_;
38997;;;;;;;;;;;;;;;;;;;
38998;# sent_id = 18;;;;_;;;;;;;;;;;;;;
38999;;Не;не;PART;_;;;!    Не ,  чё-то он;е;Н;;;;;;не;PART;_;е
39000;;, ;, ;PUNCT;_;;;;;;;;;;;, ;PUNCT;_;
39001;;чё-то;чё-то;ADVPRO;#Н/Д;;; Не ,  чё-то он меня пугает;о;т;-;ё;ч;;;чё-то;ADVPRO;_;о
39002;;он;он;SPRO;sg,3p,m=nom;;;Не ,  чё-то он меня пугает . ;н;о;;;;;;он;SPRO;_;н
39003;;меня;я;SPRO;sg,1p=acc;;;,  чё-то он меня пугает .  ;я;н;е;м;;;;я;SPRO;_;я
39004;;пугает;пугать;V;ipf,tran=praes,sg,indic,3p;;;чё-то он меня пугает .   ;т;е;а;г;у;п;;пугать;V;_;ь
39005;;. ;. ;PUNCT;_;;;;;;;;;;;. ;PUNCT;_;
39006;;;;;;;;;;;;;;;;;;;
39007;# sent_id = 19;;;;_;;;;;;;;;;;;;;
39008;;И;и;CONJ;_;;;.    И он на самом;И;;;;;;;и;CONJ;_;и
39009;;он;он;SPRO;sg,3p,m=nom;;;  И он на самом деле;н;о;;;;;;он;SPRO;_;н
39010;;на;на;PR;_;;; И он на самом деле людоед;а;н;;;;;;на;PR;_;а
39011;;самом;самый;APRO;loc,sg,n;;;И он на самом деле людоед , ;м;о;м;а;с;;;самый;APRO;_;й
39012;;деле;дело;S;n,inan=loc,sg;;;он на самом деле людоед ,  Валера;е;л;е;д;;;;дело;S;_;о
39013;;людоед;людоед;S;m,anim=nom,sg;;;на самом деле людоед ,  Валера сказал;д;е;о;д;ю;л;;людоед;S;_;д
39014;;, ;, ;PUNCT;_;;;;;;;;;;;, ;PUNCT;_;
39015;;Валера;валера;S;persn,mf,anim=nom,sg;;;деле людоед ,  Валера сказал .  ;а;р;е;л;а;В;;валера;S;_;а
39016;;сказал;сказать;V;pf,tran=praet,sg,indic,m;;;людоед ,  Валера сказал .   ;л;а;з;а;к;с;;сказать;V;_;ь
39017;;. ;. ;PUNCT;_;;;;;;;;;;;. ;PUNCT;_;
39018;;;;;;;;;;;;;;;;;;;
39019;# sent_id = 20;;;;_;;;;;;;;;;;;;;
39020;;Да;да;PART;_;;;.    Да ?  ;а;Д;;;;;;да;PART;_;а
39021;;?;?;PUNCT;_;;;;;;;;;;;?;PUNCT;_;
39022;;;;;_;;;;;;;;;;;;;;
39023;</speech>;;;;_;;;;;;;;;;;;;;
39024;;;;;_;;;;;;;;;;;;;;
39025;"<speech role=""Валера"" gender=""муж"" profession=""фотограф"" age=""28"" birthyear=""1989"" birthplace=""Владимир"" region=""Владимирская область"" education=""высшее"">";;;;_;;;;;;;;;;;;;;
39026;;Да;да;PART;_;;;   Да .  ;а;Д;;;;;;да;PART;_;а
39027;;.;.;PUNCT;_;;;;;;;;;;;.;PUNCT;_;
39028;;;;;_;;;;;;;;;;;;;;
39029;https://www.youtube.com/watch?v=pZ7Gl1mpqKI&feature=youtu.be&t=11m33s;;;;_;;;;;;;;;;;;;;
39030;;;;;_;;;;;;;;;;;;;;
39031;</speech>;;;;_;;;;;;;;;;;;;;
39032;;;;;_;;;;;;;;;;;;;;
39033;"<speech role=""Наташа"" gender=""жен"" profession=""парикмахер"" age=""28"" birthyear=""1989"" birthplace=""Владимир"" region=""Владимирская область"" education=""среднее"">";;;;_;;;;;;;;;;;;;;
39034;;А;а;CONJ;_;;;   А он чё там;А;;;;;;;а;CONJ;_;а
39035;;он;он;SPRO;sg,3p,m=nom;;;  А он чё там раненый;н;о;;;;;;он;SPRO;_;н
39036;;чё;че;SPRO;_;;; А он чё там раненый сбоку;ё;ч;;;;;;че;S;_;е
39037;;там;там;ADVPRO;_;;;А он чё там раненый сбоку или;м;а;т;;;;;там;ADVPRO;_;м
39038;;раненый;раненый;S;m,anim=nom,sg;;;он чё там раненый сбоку или что;й;ы;н;е;н;а;;раненый;S;_;й
39039;;сбоку;сбоку;ADV;_;;;чё там раненый сбоку или что ?;у;к;о;б;с;;;сбоку;ADV;_;у
39040;;или;или;CONJ;_;;;там раненый сбоку или что ? ;и;л;и;;;;;или;CONJ;_;и
39041;;что;что;SPRO;sg,n,inan=nom;;;раненый сбоку или что ?  ;о;т;ч;;;;;что;SPRO;_;о
39042;;?;?;PUNCT;_;;;;;;;;;;;?;PUNCT;_;
39043;;;;;_;;;;;;;;;;;;;;
39044;</speech>;;;;_;;;;;;;;;;;;;;
39045;;;;;_;;;;;;;;;;;;;;
39046;"<speech role=""Валера"" gender=""муж"" profession=""фотограф"" age=""28"" birthyear=""1989"" birthplace=""Владимир"" region=""Владимирская область"" education=""высшее"">";;;;_;;;;;;;;;;;;;;
39047;;Да;да;PART;_;;;   Да .  ;а;Д;;;;;;да;PART;_;а
39048;;.;.;PUNCT;_;;;;;;;;;;;.;PUNCT;_;
39049;;;;;_;;;;;;;;;;;;;;
39050;</speech>;;;;_;;;;;;;;;;;;;;
39051;;;;;_;;;;;;;;;;;;;;
39052;"<speech role=""Наташа"" gender=""жен"" profession=""парикмахер"" age=""28"" birthyear=""1989"" birthplace=""Владимир"" region=""Владимирская область"" education=""среднее"">";;;;_;;;;;;;;;;;;;;
39053;;Ой;ой;INTJ;_;;;   Ой нет ,  он;й;О;;;;;;ой;INTJ;_;й
39054;;нет;нет;PART;_;;;  Ой нет ,  он страшный;т;е;н;;;;;нет;PART;_;т
39055;;, ;, ;PUNCT;_;;;;;;;;;;;, ;PUNCT;_;
39056;;он;он;SPRO;sg,3p,m=nom;;;Ой нет ,  он страшный .  ;н;о;;;;;;он;SPRO;_;н
39057;;страшный;страшный;A;nom,sg,plen,m;;;нет ,  он страшный .   ;й;ы;н;ш;а;р;;страшный;A;_;й
39058;;. ;. ;PUNCT;_;;;;;;;;;;;. ;PUNCT;_;
39059;;;;;;;;;;;;;;;;;;;
39060;# sent_id = 21;;;;_;;;;;;;;;;;;;;
39061;;Не;не;PART;_;;;.    Не ну как бы;е;Н;;;;;;не;PART;_;е
39062;;ну;ну;PART;_;;;  Не ну как бы вроде;у;н;;;;;;ну;PART;_;у
39063;;как;как;ADVPRO;_;;; Не ну как бы вроде не;к;а;к;;;;;как;ADVPRO;_;к
39064;;бы;бы;PART;_;;;Не ну как бы вроде не страшный;ы;б;;;;;;бы;PART;_;ы
39065;;вроде;вроде;PART;_;;;ну как бы вроде не страшный , ;е;д;о;р;в;;;вроде;PART;_;е
39066;;не;не;PART;_;;;как бы вроде не страшный ,  но;е;н;;;;;;не;PART;_;е
39067;;страшный;страшный;A;nom,sg,plen,m;;;бы вроде не страшный ,  но все;й;ы;н;ш;а;р;;страшный;A;_;й
39068;;, ;, ;PUNCT;_;;;;;;;;;;;, ;PUNCT;_;
39069;;но;но;CONJ;_;;;не страшный ,  но все телодвижения там;о;н;;;;;;но;CONJ;_;о
39070;;все;весь;APRO;nom,pl;;;страшный ,  но все телодвижения там , ;е;с;в;;;;;весь;APRO;_;ь
39071;;телодвижения;телодвижение;S;n,inan=nom,pl;;;,  но все телодвижения там ,  прочее;я;и;н;е;ж;и;;телодвижение;S;_;е
39072;;там;там;ADVPRO;_;;;но все телодвижения там ,  прочее . ;м;а;т;;;;;там;ADVPRO;_;м
39073;;, ;, ;PUNCT;_;;;;;;;;;;;, ;PUNCT;_;
39074;;прочее;прочее;SPRO;n=nom,sg;;;телодвижения там ,  прочее .   ;е;е;ч;о;р;п;;прочее;SPRO;_;е
39075;;. ;. ;PUNCT;_;;;;;;;;;;;. ;PUNCT;_;
39076;;;;;;;;;;;;;;;;;;;
39077;# sent_id = 22;;;;_;;;;;;;;;;;;;;
39078;;Не;не;PART;_;;;.    Не знаю ,  страх;е;Н;;;;;;не;PART;_;е
39079;;знаю;знать;V;ipf,tran=praes,sg,indic,1p;;;  Не знаю ,  страх . ;ю;а;н;з;;;;знать;V;_;ь
39080;;, ;, ;PUNCT;_;;;;;;;;;;;, ;PUNCT;_;
39081;;страх;страх;S;m,inan=nom,sg;;;Не знаю ,  страх .   ;х;а;р;т;с;;;страх;S;_;х
39082;;. ;. ;PUNCT;_;;;;;;;;;;;. ;PUNCT;_;
39083;;;;;;;;;;;;;;;;;;;
39084;# sent_id = 23;;;;_;;;;;;;;;;;;;;
39085;;Да-а-а;да;PART;_;;;#ССЫЛКА!;а;-;а;-;а;Д;;да;PART;_;а
39086;;. ;. ;PUNCT;_;;;;;;;;;;;. ;PUNCT;_;
39087;;;;;;;;;;;;;;;;;;;
39088;# sent_id = 24;;;;_;;;;;;;;;;;;;;
39089;;Те;тот;APRO;sg,2p,dat;;;.    Те как ,  нормально;е;Т;;;;;;тот;APRO;_;т
39090;;как;как;CONJ;_;;;  Те как ,  нормально ваще;к;а;к;;;;;как;CONJ;_;к
39091;;, ;, ;PUNCT;_;;;;;;;;;;;, ;PUNCT;_;
39092;;нормально;нормально;PRAEDIC;_;;;Те как ,  нормально ваще ? ;о;н;ь;л;а;м;;нормально;ADV;_;о
39093;;ваще;ващ;S;m,inan=loc,sg;;;как ,  нормально ваще ?  ;е;щ;а;в;;;;ващ;S;_;щ
39094;;?;?;PUNCT;_;;;;;;;;;;;?;PUNCT;_;
39095;;;;;_;;;;;;;;;;;;;;
39096;</speech>;;;;_;;;;;;;;;;;;;;
39097;;;;;_;;;;;;;;;;;;;;
39098;"<speech role=""Валера"" gender=""муж"" profession=""фотограф"" age=""28"" birthyear=""1989"" birthplace=""Владимир"" region=""Владимирская область"" education=""высшее"">";;;;_;;;;;;;;;;;;;;
39099;<noindex>[нрзб]</noindex>;;;;_;;;;;;;;;;;;;;
39100;;;;;_;;;;;;;;;;;;;;
39101;</speech>;;;;_;;;;;;;;;;;;;;
39102;;;;;_;;;;;;;;;;;;;;
39103;"<speech role=""Наташа"" gender=""жен"" profession=""парикмахер"" age=""28"" birthyear=""1989"" birthplace=""Владимир"" region=""Владимирская область"" education=""среднее"">";;;;_;;;;;;;;;;;;;;
39104;;Не;не;PART;_;;;   Не страшно тебе самому;е;Н;;;;;;не;PART;_;е
39105;;страшно;страшно;PRAEDIC;_;;;  Не страшно тебе самому -;о;н;ш;а;р;т;;страшно;ADV;_;о
39106;;тебе;ты;SPRO;sg,2p=dat;;; Не страшно тебе самому - то;е;б;е;т;;;;ты;SPRO;_;ы
39107;;самому;сам;APRO;dat,sg,m;;;Не страшно тебе самому - то ? ;у;м;о;м;а;с;;сам;APRO;_;м
39108;;-;-;PUNCT;_;;;;;;;;;;;-;PUNCT;_;
39109;;то;то;PART;_;;;тебе самому - то ?   ;о;т;;;;;;то;PART;_;о
39110;;? ;? ;PUNCT;_;;;;;;;;;;;? ;PUNCT;_;
39111;;;;;_;;;;;;;;;;;;;;
39112;</speech>;;;;_;;;;;;;;;;;;;;
39113;;;;;_;;;;;;;;;;;;;;
39114;"<speech role=""Валера"" gender=""муж"" profession=""фотограф"" age=""28"" birthyear=""1989"" birthplace=""Владимир"" region=""Владимирская область"" education=""высшее"">";;;;_;;;;;;;;;;;;;;
39115;;А;а;CONJ;_;;;   А чего страшного ?;А;;;;;;;а;CONJ;_;а
39116;;чего;что;SPRO;sg,n,inan=gen;;;  А чего страшного ? ;о;г;е;ч;;;;что;SPRO;_;о
39117;;страшного;страшный;A;gen,sg,plen,n;;; А чего страшного ?  ;о;г;о;н;ш;а;;страшный;A;_;й
39118;;?;?;PUNCT;_;;;;;;;;;;;?;PUNCT;_;
39119;;;;;_;;;;;;;;;;;;;;
39120;</speech>;;;;_;;;;;;;;;;;;;;
39121;;;;;_;;;;;;;;;;;;;;
39122;"<speech role=""Наташа"" gender=""жен"" profession=""парикмахер"" age=""28"" birthyear=""1989"" birthplace=""Владимир"" region=""Владимирская область"" education=""среднее"">";;;;_;;;;;;;;;;;;;;
39123;;Не;не;PART;_;;;   Не писанешь ? ;е;Н;;;;;;не;PART;_;е
39124;;писанешь;писануть;V;pf,intr=fut,sg,indic,2p;;;  Не писанешь ?  ;ь;ш;е;н;а;с;;писануть;V;_;ь
39125;;?;?;PUNCT;_;;;;;;;;;;;?;PUNCT;_;
39126;;;;;_;;;;;;;;;;;;;;
39127;</speech>;;;;_;;;;;;;;;;;;;;
39128;;;;;_;;;;;;;;;;;;;;
39129;"<speech role=""Валера"" gender=""муж"" profession=""фотограф"" age=""28"" birthyear=""1989"" birthplace=""Владимир"" region=""Владимирская область"" education=""высшее"">";;;;_;;;;;;;;;;;;;;
39130;;А;а;CONJ;_;;;   А с чего писану;А;;;;;;;а;CONJ;_;а
39131;;с;с;PR;_;;;  А с чего писану ?;с;;;;;;;с;PR;_;с
39132;;чего;что;SPRO;sg,n,inan=gen;;; А с чего писану ? ;о;г;е;ч;;;;что;SPRO;_;о
39133;;писану;писануть;V;pf,intr=fut,sg,indic,1p;;;А с чего писану ?  ;у;н;а;с;и;п;;писануть;V;_;ь
39134;;?;?;PUNCT;_;;;;;;;;;;;?;PUNCT;_;
39135;;;;;_;;;;;;;;;;;;;;
39136;</speech>;;;;_;;;;;;;;;;;;;;
39137;;;;;_;;;;;;;;;;;;;;
39138;"<speech role=""Наташа"" gender=""жен"" profession=""парикмахер"" age=""28"" birthyear=""1989"" birthplace=""Владимир"" region=""Владимирская область"" education=""среднее"">";;;;_;;;;;;;;;;;;;;
39139;;Ну;ну;PART;_;;;   Ну не писанешь ... ;у;Н;;;;;;ну;PART;_;у
39140;;не;не;PART;_;;;  Ну не писанешь ...  от;е;н;;;;;;не;PART;_;е
39141;;писанешь;писануть;V;pf,intr=fut,sg,indic,2p;;; Ну не писанешь ...  от страха;ь;ш;е;н;а;с;;писануть;V;_;ь
39142;;... ;... ;PUNCT;_;;;;;;;;;;;... ;PUNCT;_;
39143;;от;от;PR;_;;;не писанешь ...  от страха ?  ;т;о;;;;;;от;PR;_;т
39144;;страха;страх;S;m,inan=gen,sg;;;писанешь ...  от страха ?   ;а;х;а;р;т;с;;страх;S;_;х
39145;;? ;? ;PUNCT;_;;;;;;;;;;;? ;PUNCT;_;
39146;;;;;_;;;;;;;;;;;;;;
39147;</speech>;;;;_;;;;;;;;;;;;;;
39148;;;;;_;;;;;;;;;;;;;;
39149;"<speech role=""Валера"" gender=""муж"" profession=""фотограф"" age=""28"" birthyear=""1989"" birthplace=""Владимир"" region=""Владимирская область"" education=""высшее"">";;;;_;;;;;;;;;;;;;;
39150;;Нет;нет;PRAEDIC;_;;;   Нет .  ;т;е;Н;;;;;нет;PRAEDIC;_;т
39151;;.;.;PUNCT;_;;;;;;;;;;;.;PUNCT;_;
39152;;;;;_;;;;;;;;;;;;;;
39153;</speech>;;;;_;;;;;;;;;;;;;;
39154;;;;;_;;;;;;;;;;;;;;
39155;"<speech role=""Наташа"" gender=""жен"" profession=""парикмахер"" age=""28"" birthyear=""1989"" birthplace=""Владимир"" region=""Владимирская область"" education=""среднее"">";;;;_;;;;;;;;;;;;;;
39156;;Нет;нет;PART;_;;;   Нет ?   ;т;е;Н;;;;;нет;PART;_;т
39157;;? ;? ;PUNCT;_;;;;;;;;;;;? ;PUNCT;_;
39158;;;;;;;;;;;;;;;;;;;
39159;# sent_id = 25;;;;_;;;;;;;;;;;;;;
39160;;Надо;надо;PRAEDIC;_;;;?    Надо оливье доедать .;о;д;а;Н;;;;надо;ADV;_;о
